K00116  8395660 K00116.03 Kepler-106 b  0.9940 1.074  42.874 0.5416    6.164916960  0.882398110111|0.0936420818877 1045.082865890  0.000000000000  0.00000000000  0.00000000000
K00116  8395660 K00116.04 Kepler-106 d  0.9940 1.074  42.874 0.2506   23.980234800  1.033539821220|0.1118133715790  664.352820488  1.742068017210  1.76705091011 19.19741556520
K00116  8395660 K00116.01 Kepler-106 c  0.9940 1.074  42.874 0.1145   13.570766220  2.450596213200|0.2398819417990  803.541318992  1.666497161660  2.20128937795 27.01293421170
K00116  8395660 K00116.02 Kepler-106 e  0.9940 1.074  42.874 0.4969   43.844443530  2.690280578640|0.3075176870230  544.020598948  1.861910199930  1.82835755762 19.84896173410
K00117 10875245 K00117.04 Kepler-107 d  1.2560 1.610  33.040 0.1553    7.958302160  1.218839402160|0.2077331746770 1131.169734970  1.654472329890  1.62366677827 17.65928103620
K00117 10875245 K00117.02 Kepler-107 c  1.2560 1.610  33.040 0.7916    4.901438070  2.090105257630|0.3729192357080 1329.027261520  1.932504440470  1.54132078603 14.39090460070
K00117 10875245 K00117.03 Kepler-107 b  1.2560 1.610  33.040 0.2651    3.180024635  1.774903623300|0.2902409764690 1537.059109560  0.000000000000  0.00000000000  0.00000000000
K00117 10875245 K00117.01 Kepler-107 e  1.2560 1.610  33.040 0.6808   14.749135180  3.488739369840|0.5830785907780  920.618582571  2.353789386000  1.85330173239 19.81028808720
K00123  5094751 K00123.01 Kepler-109 b  1.0730 1.370  28.964 0.1459    6.481628092  2.385287097360|0.3274850800320 1157.998543560  0.000000000000  0.00000000000  0.00000000000
K00123  5094751 K00123.02 Kepler-109 c  1.0730 1.370  28.964 0.0266   21.222585250  2.595107897030|0.3560565566810  780.188586068  2.490197497190  3.27426766065 33.06531379020
K00124 11086270 K00124.02 Kepler-110 c  1.0300 1.180  33.229 0.0971   31.719824980  2.265565908440|0.2768031968440  641.109055901  2.078579147620  2.49938498046 27.21570791860
K00124 11086270 K00124.01 Kepler-110 b  1.0300 1.180  33.229 0.0211   12.691052090  1.891592386800|0.2302756841460  869.662337973  0.000000000000  0.00000000000  0.00000000000
K00137  8644288 K00137.02 Kepler-18 d   0.9530 1.008  50.138 0.0247   14.858912687  5.702248189830|0.5043208292840  706.076606427  5.232049786250  1.94448388304 12.56847601580
K00137  8644288 K00137.03 Kepler-18 b   0.9530 1.008  50.138 0.7912    3.504687554  2.012332192060|0.2928267970050 1143.514026560  0.000000000000  0.00000000000  0.00000000000
K00137  8644288 K00137.01 Kepler-18 c   0.9530 1.008  50.138 0.0083    7.641571533  4.761851382670|0.4264551006050  881.192146968  3.387091787360  2.18038595888 17.92933243930
K00148  5735762 K00148.01 Kepler-48 b   0.8900 0.904  54.604 0.4512    4.778004028  2.005094153620|0.1775811729040  949.658426473  0.000000000000  0.00000000000  0.00000000000
K00148  5735762 K00148.03 Kepler-48 d   0.8900 0.904  54.604 0.0280   42.896055050  2.142607418090|0.1748870878140  457.171803640  2.455121651900  4.43418041706 38.16374908060
K00148  5735762 K00148.02 Kepler-48 c   0.8900 0.904  54.604 0.0267    9.673953474  2.767635885700|0.2229247925160  750.977587232  2.386365019660  2.02468508132 19.35645599190
K00150  7626506 K00150.01 Kepler-112 b  0.7860 0.812  51.933 0.1335    8.408876951  2.305409951420|0.1864239863650  799.149747513  0.000000000000  0.00000000000  0.00000000000
K00150  7626506 K00150.02 Kepler-112 c  0.7860 0.812  51.933 0.2589   28.574264900  2.376230754440|0.1923906505900  531.629823789  2.340820352930  3.39810715111 31.27844441490
K00152  8394721 K00152.04 Kepler-79 e   1.2480 1.300  83.584 0.2320   81.063494200  2.790502318860|0.2867245572320  511.435842542  4.973192615280  1.55619551379  8.99755884932
K00152  8394721 K00152.02 Kepler-79 c   1.2480 1.300  83.584 0.1043   27.402320890  3.716142409640|0.3582186548750  734.173467423  3.570085646510  2.03212168094 19.20506174120
K00152  8394721 K00152.01 Kepler-79 d   1.2480 1.300  83.584 0.0210   52.090816020  7.155882911700|0.6868851920860  592.753947554  5.436012660670  1.90096365301 12.78514096420
K00152  8394721 K00152.03 Kepler-79 b   1.2480 1.300  83.584 0.0862   13.484586650  3.424028883390|0.3317237787070  929.377425484  0.000000000000  0.00000000000  0.00000000000
K00153 12252424 K00153.01 Kepler-113 c  0.7770 0.756  54.358 0.8053    8.925076369  2.705500473690|0.2699824414150  660.703755379  2.368168077950  1.87738203829 16.62737178730
K00153 12252424 K00153.02 Kepler-113 b  0.7770 0.756  54.358 0.2184    4.754001150  2.030835682200|0.1660412736170  814.241040175  0.000000000000  0.00000000000  0.00000000000
K00156 10925104 K00156.03 Kepler-114 d  0.7500 0.728  74.654 0.4295   11.776138457  2.757750817260|0.2265009052070  577.974727115  2.245401887270  1.46445136413 10.21779763290
K00156 10925104 K00156.02 Kepler-114 b  0.7500 0.728  74.654 0.1174    5.188561757  1.342045085620|0.1113643550770  759.606934098  0.000000000000  0.00000000000  0.00000000000
K00156 10925104 K00156.01 Kepler-114 c  0.7500 0.728  74.654 0.0898    8.041331208  1.733052957280|0.1416718822750  656.311392424  1.537549021450  1.54981892567 13.42371237410
K00157  6541920 K00157.02 Kepler-11 d   1.0050 1.190  51.624 0.0153   22.687141050  3.704039818550|0.4218041852760  699.010205056  3.528151278580  1.74182465493 14.13795089030
K00157  6541920 K00157.01 Kepler-11 c   1.0050 1.190  51.624 0.0416   13.024928190  3.352262738610|0.3704476419580  842.110838563  2.728810505920  1.26406462613  6.53899905041
K00157  6541920 K00157.05 Kepler-11 g   1.0050 1.190  51.624 0.1086  118.378379000  3.937065026660|0.4395674506770  403.293806336  3.521052665820  2.53563980727 23.25363112660
K00157  6541920 K00157.06 Kepler-11 b   1.0050 1.190  51.624 0.0118   10.304004970  2.105358273230|0.2384753113950  910.221271499  0.000000000000  0.00000000000  0.00000000000
K00157  6541920 K00157.04 Kepler-11 f   1.0050 1.190  51.624 0.6989   46.685802400  3.105040304980|0.4115666894610  550.189601590  3.765197082260  1.45913623150  8.94444197430
K00157  6541920 K00157.03 Kepler-11 e   1.0050 1.190  51.624 0.1117   31.995506240  4.425353859540|0.4966000086130  623.970251904  4.064696839050  1.41029256042  7.97348354131
K00159  8972058 K00159.01 Kepler-115 c  1.0700 1.126  50.931 0.1376    8.990888710  2.421581282630|0.2354382918700  954.614623194  1.729417294000  3.74052536205 43.52033148120
K00159  8972058 K00159.02 Kepler-115 b  1.0700 1.126  50.931 0.4118    2.403643296  1.037253305380|0.1093696344380 1482.131592910  0.000000000000  0.00000000000  0.00000000000
K00168 11512246 K00168.01 Kepler-23 c   1.0500 1.490  48.624 0.1274   10.742427660  3.040441060830|0.4747267703390 1007.735338910  2.439344877490  1.51153968383 12.04831283270
K00168 11512246 K00168.03 Kepler-23 b   1.0500 1.490  48.624 0.7535    7.106943850  1.838248694160|0.3551535710580 1155.870378890  0.000000000000  0.00000000000  0.00000000000
K00168 11512246 K00168.02 Kepler-23 d   1.0500 1.490  48.624 0.2081   15.274382290  2.201010356410|0.3492833945840  896.506805601  2.620725708620  1.42187434474 10.03953453270
K00171  7831264 K00171.01 Kepler-116 b  1.1950 1.310  58.423 0.5115    5.968717469  3.103121457960|0.4219284065910 1200.148486040  0.000000000000  0.00000000000  0.00000000000
K00171  7831264 K00171.02 Kepler-116 c  1.1950 1.310  58.423 0.0231   13.071489000  2.062257629010|0.2710019768250  923.858073180  2.582689543480  2.18999962184 23.05633818620
K00172  8692861 K00172.02 Kepler-69 c   0.8730 1.046  48.952 0.5830  242.467120000  1.912444324190|0.3113414555260  297.668342315  2.223026072250 17.66947703810 63.25794608100
K00172  8692861 K00172.01 Kepler-69 b   0.8730 1.046  48.952 0.2540   13.722371040  2.533607820300|0.2735982327300  774.941894680  0.000000000000  0.00000000000  0.00000000000
K00179  9663113 K00179.02 Kepler-458 b  1.3810 1.800  63.185 0.5993  572.383277000  6.736225819820|1.1507956557300  299.943070805  6.312795195330 27.59765842220 46.53475706690
K00179  9663113 K00179.01 Kepler-458 c  1.3810 1.800  63.185 0.3588   20.740284130  5.889364570830|0.9177861975630  906.717225321  0.000000000000  0.00000000000  0.00000000000
K00191  5972334 K00191.03               0.9170 0.939 116.549 0.3269    0.708620008  1.346059869970|0.1152667807560 1898.149575100  0.000000000000  0.00000000000  0.00000000000
K00191  5972334 K00191.02               0.9170 0.939 116.549 0.8901    2.418405445  2.999168808840|0.3242460765590 1258.561920050  2.172614339400  3.41283821752 34.31861368770
K00191  5972334 K00191.01 Kepler-487 b  0.9170 0.939 116.549 0.5156   15.358768403 12.203625757300|0.9783376007850  680.168782473  7.601397283070  6.35078308923 22.40324686380
K00209 10723750 K00209.01 Kepler-117 c  1.1730 1.510  77.959 0.2044   50.790346190 11.681658812200|1.6490454944300  619.315984032  9.693245504710  2.70220340037 12.94875597330
K00209 10723750 K00209.02 Kepler-117 b  1.1730 1.510  77.959 0.4557   18.795900480  7.704832197210|1.0917087737600  862.292605266  0.000000000000  0.00000000000  0.00000000000
K00232  4833421 K00232.02 Kepler-122 b  1.0260 1.180  64.354 0.0659    5.766166580  2.279626717390|0.2988679455080 1123.821323430  0.000000000000  0.00000000000  0.00000000000
K00232  4833421 K00232.01 Kepler-122 c  1.0260 1.180  64.354 0.4116   12.465995556  5.794225709760|0.7634049315590  869.078982805  4.036926213570  2.16192081568 16.36373368630
K00232  4833421 K00232.03 Kepler-122 d  1.0260 1.180  64.354 0.0269   21.587887500  1.885316605950|0.2504015366420  725.028768333  3.839771157850  1.73174195378 11.89587791670
K00232  4833421 K00232.05 Kepler-122 f  1.0260 1.180  64.354 0.3786   56.258788500  2.251507358830|0.2961477470980  526.439525918  2.068411982390  2.60603491194 28.36989671170
K00238  7219825 K00238.01 Kepler-123 b  1.1100 1.250  56.689 0.2035   17.232316860  2.873690703400|0.3571039956370  825.622191103  0.000000000000  0.00000000000  0.00000000000
K00238  7219825 K00238.02 Kepler-123 c  1.1100 1.250  56.689 0.2452   26.695165900  1.491736884840|0.1956772122320  712.263322066  2.182713794120  1.54913388123 13.24614697580
K00241 11288051 K00241.03 Kepler-124 b  0.6800 0.673  66.434 0.1525    3.410454240  0.824442904209|0.0732213995664  908.518170201  0.000000000000  0.00000000000  0.00000000000
K00241 11288051 K00241.02 Kepler-124 d  0.6800 0.673  66.434 0.5985   30.950760800  1.283280471620|0.1723172851210  435.744266424  1.765931040280  2.23933728428 22.78149383720
K00241 11288051 K00241.01 Kepler-124 c  0.6800 0.673  66.434 0.8474   13.821393060  2.248581608940|0.2326089786150  570.002354327  1.536512256570  4.05265459888 41.55167171400
K00244  4349452 K00244.02 Kepler-25 b   1.1730 1.270  18.553 0.0053    6.238534771  2.554186265770|0.2748416664300 1179.902751460  0.000000000000  0.00000000000  0.00000000000
K00244  4349452 K00244.01 Kepler-25 c   1.1730 1.270  18.553 0.1062   12.720374354  4.372300209410|0.4815134471240  931.193864421  3.463243237590  2.03900031352 17.96288142490
K00245  8478994 K00245.02 Kepler-37 c   0.8120 0.791  17.580 0.0797   21.301991090  0.721668340849|0.0600267468855  559.394630852  0.000000000000  0.00000000000  0.00000000000
K00245  8478994 K00245.01 Kepler-37 d   0.8120 0.791  17.580 0.0269   39.792237920  1.919908528530|0.1542179625060  454.460986118  1.320788434690  1.86800556586 21.99168807420
K00246 11295426 K00246.01 Kepler-68 A b 1.0510 1.330  14.965 0.0230    5.398753927  2.453296752920|0.3181707885130 1189.505539550  0.000000000000  0.00000000000  0.00000000000
K00246 11295426 K00246.02 Kepler-68 A c 1.0510 1.330  14.965 0.0678    9.605038670  0.983101506517|0.1302588878430  980.496192352  1.718199129720  1.77912140466 19.98427356430
K00260  8292840 K00260.01 Kepler-126 b  1.1090 1.230  18.237 0.6919   10.495677520  1.394214827860|0.1538029331220  984.518908325  0.000000000000  0.00000000000  0.00000000000
K00260  8292840 K00260.03 Kepler-126 c  1.1090 1.230  18.237 0.7189   21.869676170  1.411229185240|0.1783899639730  769.658068870  1.402722006550  2.08368408122 25.71932950450
K00260  8292840 K00260.02 Kepler-126 d  1.1090 1.230  18.237 0.0340  100.282869300  2.240388516610|0.2404800411950  463.913384544  1.825808850920  4.58547572998 45.93612182490
K00262 11807274 K00262.01 Kepler-50 b   1.1500 1.460  23.510 0.3359    7.812858400  1.417069678140|0.1999465160830 1155.302199480  0.000000000000  0.00000000000  0.00000000000
K00262 11807274 K00262.02 Kepler-50 c   1.1500 1.460  23.510 0.5929    9.376643250  1.668252537260|0.2828573723340 1087.861240650  1.542661107700  1.20015527864  6.34578822960
K00266  7375348 K00266.02               1.1090 1.173  20.419 0.3242   47.743603300  1.203124849020|0.1336591400030  568.553686713  1.383448133580  1.88643552481 23.59004091920
K00266  7375348 K00266.01 Kepler-508 b  1.1090 1.173  20.419 0.7101   25.308897480  1.563771418150|0.1670732313340  703.050932155  0.000000000000  0.00000000000  0.00000000000
K00271  9451706 K00271.01 Kepler-127 d  1.2350 1.410  25.554 0.1662   48.630389760  2.634023489900|0.3793316924850  606.037760049  2.569840726790  1.65447362807 15.17444580650
K00271  9451706 K00271.03 Kepler-127 b  1.2350 1.410  25.554 0.4265   14.435943970  1.517619191130|0.2207961069590  908.656365981  0.000000000000  0.00000000000  0.00000000000
K00271  9451706 K00271.02 Kepler-127 c  1.2350 1.410  25.554 0.1544   29.393269820  2.505657963680|0.3607396836690  717.278184632  2.011638577400  2.03611692322 22.96178768690
K00274  8077137 K00274.02 Kepler-128 c  1.1680 1.580  23.749 0.6427   22.802980800  1.340296342580|0.2462761901860  828.159467479  1.351161592830  1.51117181175 15.63291683550
K00274  8077137 K00274.01 Kepler-128 b  1.1680 1.580  23.749 0.0212   15.089601740  1.362026843070|0.1944638037940  950.006777119  0.000000000000  0.00000000000  0.00000000000
K00275 10586004 K00275.01 Kepler-129 b  1.2180 1.710  27.444 0.1588   15.791937250  2.394325130980|0.3168155777300  924.168203946  0.000000000000  0.00000000000  0.00000000000
K00275 10586004 K00275.02 Kepler-129 c  1.2180 1.710  27.444 0.0213   82.200010500  2.496175022860|0.3313607470430  532.331807788  2.445250076920  5.20518852112 46.21163940350
K00277 11401755 K00277.02 Kepler-36 b   1.0490 1.400  26.807 0.2177   13.849842830  1.269546791360|0.2268389552160  920.196104419  0.000000000000  0.00000000000  0.00000000000
K00277 11401755 K00277.01 Kepler-36 c   1.0490 1.400  26.807 0.7139   16.231920040  3.384002010760|0.6008779465730  872.624595069  2.326774401060  1.17199308608  4.86022810427
K00279 12314973 K00279.01 Kepler-450 b  1.2710 1.450  36.899 0.0243   28.454920880  5.477071760970|0.7451435782750  752.273127344  3.889132943300  1.84615340697 14.47063030900
K00279 12314973 K00279.03 Kepler-450 d  1.2710 1.450  36.899 0.2641    7.514470400  0.819452760104|0.1192034924250 1173.647209570  0.000000000000  0.00000000000  0.00000000000
K00279 12314973 K00279.02 Kepler-450 c  1.2710 1.450  36.899 0.3150   15.413085810  2.301194125620|0.3142711443950  924.182494481  1.560323442860  2.05112070306 27.45848711400
K00282  5088536 K00282.01 Kepler-130 c  0.9710 1.082  22.841 0.1539   27.508675190  2.734021268080|0.2700630532650  642.368831927  1.861283394080  3.25259028056 37.24005987190
K00282  5088536 K00282.02 Kepler-130 b  0.9710 1.082  22.841 0.1952    8.457467070  0.988545520078|0.0998735568509  951.625981976  0.000000000000  0.00000000000  0.00000000000
K00282  5088536 K00282.03 Kepler-130 d  0.9710 1.082  22.841 0.2642   87.517436100  1.311303853470|0.1470923113270  437.063929782  2.022662560780  3.18144859742 34.17483195900
K00283  5695396 K00283.01 Kepler-131 b  1.0450 1.052  27.138 0.0097   16.091971760  2.169801530370|0.1882487121400  734.924857994  0.000000000000  0.00000000000  0.00000000000
K00283  5695396 K00283.02 Kepler-131 c  1.0450 1.052  27.138 0.4658   25.517064600  0.848786766291|0.0799982221932  631.116739870  1.509294148330  1.58570155234 16.92700418150
K00285  6196457 K00285.02 Kepler-92 c   1.2210 1.650  27.472 0.2118   26.723205990  2.291513102360|0.3486174960230  778.841339346  2.877903556900  1.94367180201 19.15161095930
K00285  6196457 K00285.01 Kepler-92 b   1.2210 1.650  27.472 0.5642   13.748826300  3.464294011440|0.5229843582380  972.355374174  0.000000000000  0.00000000000  0.00000000000
K00285  6196457 K00285.03 Kepler-92 d   1.2210 1.650  27.472 0.1600   49.356884900  1.930133530950|0.2906925211930  634.942748003  2.110823316650  1.84696719841 19.50077183040
K00295 11547513 K00295.02 Kepler-134 c  0.9870 0.977  38.201 0.3244   10.105753030  1.040373845060|0.0909441194325  854.624404505  1.343895102880  1.90049379812 23.76706688170
K00295 11547513 K00295.01 Kepler-134 b  0.9870 0.977  38.201 0.1590    5.317435416  1.647416360710|0.1334647369830 1058.565602090  0.000000000000  0.00000000000  0.00000000000
